FID_J5ADCCAE55F1F458CB72D43BBA0,FID_JCEC669FB3C1942769A246F54CA,FID_JD5A3B0BAC9964E2A82FC17D52C,FID_JCFB10F4860614B8C9C6755F87E,NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,POPULATION,POP_SQMI,POP2010,POP10_SQMI,WHITE,BLACK,AMERI_ES,ASIAN,HAWN_PI,HISPANIC,OTHER,MULT_RACE,MALES,FEMALES,AGE_UNDER5,AGE_5_9,AGE_10_14,AGE_15_19,AGE_20_24,AGE_25_34,AGE_35_44,AGE_45_54,AGE_55_64,AGE_65_74,AGE_75_84,AGE_85_UP,MED_AGE,MED_AGE_M,MED_AGE_F,HOUSEHOLDS,AVE_HH_SZ,HSEHLD_1_M,HSEHLD_1_F,MARHH_CHD,MARHH_NO_C,MHH_CHILD,FHH_CHILD,FAMILIES,AVE_FAM_SZ,HSE_UNITS,VACANT,OWNER_OCC,RENTER_OCC,NO_FARMS12,AVE_SIZE12,CROP_ACR12,AVE_SALE12,SQMI,NO_FARMS17,AVE_SIZE17,CROP_ACR17,AVE_SALE17,Shape_Leng,County,Zone,FID_JC691A5DE512F41389BD7E7BF18,price_region,Count_,AnalysisArea,FID_WI_MUNI_UTILITY_BOUNDARIES_,CODE,COLOR,UTIL_LAB,Util_Type,PSC_ID,AREA,PERIMETER,ADDRESS_1,ADDRESS_2,CITY,STATE,ZIP,PHONE,WEB,DATA_DATE,GIS_DATA,Shape_Leng_1,LABEL,FID_COOP_UTILITY_BOUNDARIES_COO,CODE_1,COLOR_1,UTIL_LAB_1,Util_Type_1,PSC_ID_1,AREA_1,PERIMETER_1,ADDRESS_12,ADDRESS_23,CITY_1,STATE_1,ZIP_1,PHONE_1,WEB_1,DATA_DATE_1,GIS_DATA_1,Shape_Leng_12,LABEL_1,FID_WI_IOU_UTILITY_BOUNDARIES_W,CITY_12,CODE_12,UTIL_LAB_12,PSC_ID_12,AREA_12,PERIMETER_12,DATA_DATE_12,GIS_DATA_12,ADDRESS_12_13,ADDRESS_23_24,STATE_12,ZIP_12,PHONE_12,WEB_12,Shape_Leng_12_13,UTIL_TYPE_12,LABEL_12
261,2,2,1,Adams County,Wisconsin,55,001,55001,21223,30.9,20875,30.3,19409,633,205,82,4,783,266,276,11221,9654,849,889,1019,1059,840,2053,2374,3381,3512,2995,1481,423,49.1,47.4,51.0,8666,2.24,1301,1097,1117,3535,237,416,5755,2.68,17436,8770,7203,1463,313.0,378.0,87541.0,337599.0,687.48,308.0,381.0,84544.0,425646.0,2.1256773,Adams,8,3,2,176,0.14162107,-1,,0,,,0,0.0,,,,,,,,,1899-12-30 00:00:00,,0.0,,15,C-12,83,OAKDALE ELECTRIC COOPERATIVE,Cooperative,4320,1361.97771941,418.295979703401,PO Box 128,489 N Oakwood Street,Oakdale,WI,54649-0128,608-372-4131,https://www.oakdalerec.com,2009-07-15 00:00:00,X,673183.471527,Oakdale Electric Cooperative,-1,,,,0,0.0,,1899-12-30 00:00:00,,,,,,,,0.0,,
355,55,55,32,La Crosse County,Wisconsin,55,063,55063,120515,251.0,114638,238.9,105540,1610,493,4742,28,1741,371,1854,55961,58677,6748,6562,6816,9547,12626,14774,13039,15821,13504,7490,5176,2535,35.2,34.2,36.3,46137,2.37,6067,7585,8902,12610,1102,2773,27373,2.94,48402,2265,29562,16575,748.0,212.0,86855.0,115671.0,480.05,667.0,216.0,85863.0,111865.0,1.73449471,La Crosse,7,4,3,160,57.05835157,-1,,0,,,0,0.0,,,,,,,,,1899-12-30 00:00:00,,0.0,,13,C-18,83,RIVERLAND ENERGY COOPERATIVE,Cooperative,5938,1675.8248857,293.502898295707,PO Box 277,N28988 STH 93,Arcadia,WI,54612-0277,608-323-3381,https://www.riverlandenergy.com,2009-11-11 00:00:00,X,472348.073051,Riverland Energy Cooperative,-1,,,,0,0.0,,1899-12-30 00:00:00,,,,,,,,0.0,,
23,23,23,12,Crawford County,Wisconsin,55,023,55023,16565,27.6,16644,27.8,16080,296,39,63,3,150,36,127,8575,8069,948,1014,1046,1028,779,1743,1838,2651,2535,1679,962,421,44.6,42.9,46.2,6812,2.33,943,1055,1210,2315,213,405,4479,2.85,8802,1990,5151,1661,1105.0,196.0,98432.0,67782.0,599.21,1034.0,204.0,98951.0,70965.0,1.96196751,Crawford,9,4,3,160,0.11770289,-1,,0,,,0,0.0,,,,,,,,,1899-12-30 00:00:00,,0.0,,-1,,0,,,0,0.0,,,,,,,,,1899-12-30 00:00:00,,0.0,,-1,,,,0,0.0,,1899-12-30 00:00:00,,,,,,,,0.0,,
378,78,78,47,Pepin County,Wisconsin,55,091,55091,7499,30.2,7469,30.0,7337,21,19,13,1,72,35,43,3780,3689,468,438,481,488,317,746,893,1199,1102,673,457,207,44.0,43.2,44.8,3051,2.4,406,411,623,1137,77,149,2085,2.91,3579,528,2428,623,459.0,226.0,63018.0,156288.0,248.7,448.0,239.0,69294.0,161411.0,1.76877636,Pepin,7,4,3,160,3.54867049,-1,,0,,,0,0.0,,,,,,,,,1899-12-30 00:00:00,,0.0,,12,C-09,83,EAU CLAIRE ENERGY COOPERATIVE,Cooperative,1737,662.86344573,202.105836859015,PO Box 368,8214 USH 12,Fall Creek,WI,54742-0368,888-832-1604,https://www.ecec.com/content/home.php,2009-07-20 00:00:00,X,325258.466431,Eau Claire Energy Cooperative,-1,,,,0,0.0,,1899-12-30 00:00:00,,,,,,,,0.0,,
215,220,92,56,St. Croix County,Wisconsin,55,109,55109,92386,125.7,84345,114.7,80914,552,313,900,23,1692,483,1160,42218,42127,6166,6705,6396,5361,3924,11542,12640,13616,9527,4672,2637,1159,36.7,36.1,37.2,31799,2.63,3215,3601,8884,10052,1025,1832,23014,3.07,33983,2184,24754,7045,1417.0,189.0,196082.0,151251.0,735.19,1444.0,193.0,216465.0,130944.0,2.05050503,St. Croix,7,2,1,416,1.14821801,76,M-51,67,NEW RICHMOND MUNICIPAL ELECTRIC UTILITY,Municipal,4139,10.74810677,28.6501879540201, ,156 E 1st Street,New Richmond,WI,54017,715-246-4167,https://www.nrutilities.com/,2019-02-05 00:00:00, ,47694.0918788,New Richmond Municipal Electric Utility,-1,,0,,,0,0.0,,,,,,,,,1899-12-30 00:00:00,,0.0,,-1,,,,0,0.0,,1899-12-30 00:00:00,,,,,,,,0.0,,
46,47,47,27,Jackson County,Wisconsin,55,053,55053,20257,20.2,20449,20.4,18258,400,1271,53,20,519,144,303,10874,9575,1252,1294,1277,1246,1067,2482,2638,3183,2707,1832,1044,427,41.4,40.4,42.6,7843,2.44,1096,1017,1487,2581,275,514,5236,2.93,9727,1884,5917,1926,864.0,278.0,139347.0,196263.0,1000.48,855.0,290.0,135568.0,180293.0,2.77350478,Jackson,7,3,2,176,13.41176395,-1,,0,,,0,0.0,,,,,,,,,1899-12-30 00:00:00,,0.0,,-1,,0,,,0,0.0,,,,,,,,,1899-12-30 00:00:00,,0.0,,-1,,,,0,0.0,,1899-12-30 00:00:00,,,,,,,,0.0,,
69,70,70,42,Monroe County,Wisconsin,55,081,55081,46889,51.6,44673,49.2,41940,512,510,289,40,1661,764,618,22648,22025,3236,3230,3221,3023,2228,5321,5468,6939,5784,3311,2036,876,39.0,38.7,39.3,17376,2.52,2346,2303,3743,5417,608,1216,11740,3.05,19204,1828,12404,4972,1926.0,175.0,173238.0,104903.0,908.08,1555.0,193.0,165234.0,130380.0,2.19320659,Monroe,7,4,3,160,40.92289702,-1,,0,,,0,0.0,,,,,,,,,1899-12-30 00:00:00,,0.0,,-1,,0,,,0,0.0,,,,,,,,,1899-12-30 00:00:00,,0.0,,-1,,,,0,0.0,,1899-12-30 00:00:00,,,,,,,,0.0,,
192,197,60,36,Manitowoc County,Wisconsin,55,071,55071,80493,135.4,81442,136.7,76402,442,450,2050,10,2565,1069,1019,40489,40953,4550,4874,5254,5484,4033,8884,9963,13589,11097,6794,4687,2233,42.9,41.6,44.2,34013,2.36,4706,5198,6752,11491,889,1764,22367,2.91,37189,3176,25642,8371,1224.0,189.0,186852.0,280845.0,594.62,1171.0,198.0,187956.0,263971.0,2.57436757,Manitowoc,6,2,1,416,6.11520887,21,M-73,31,TWO RIVERS WATER & LIGHT UTILITY,Municipal,5990,6.59169619,31.4470124934383, ,1415 Lake Street,Two Rivers,WI,54241,920-793-5550,https://trwaterandlight.com/,2015-02-13 00:00:00, ,50609.1620926,Two Rivers Water & Light Utility,-1,,0,,,0,0.0,,,,,,,,,1899-12-30 00:00:00,,0.0,,-1,,,,0,0.0,,1899-12-30 00:00:00,,,,,,,,0.0,,
401,89,89,54,Rock County,Wisconsin,55,105,55105,163816,225.6,160331,220.8,140513,7978,516,1630,39,12124,5948,3707,78815,81516,10445,11116,11427,11581,9409,20159,21393,24117,18925,11466,7256,3037,37.9,36.8,39.0,62905,2.5,7277,9252,12896,18261,2287,5564,42416,3.0,68422,5517,44380,18525,1509.0,234.0,303657.0,181858.0,726.16,1587.0,223.0,302797.0,185539.0,1.87766631,Rock,10,2,1,416,212.46817634,-1,,0,,,0,0.0,,,,,,,,,1899-12-30 00:00:00,,0.0,,20,C-19,83,ROCK ENERGY COOPERATIVE,Cooperative,5125,385.01860364,353.325576355299,PO Box 1758,2815 Kennedy Road,Janesville,WI,53547-1758,608-752-4550,https://www.rock.coop,2010-11-25 00:00:00,X,568623.533601,Rock Energy Cooperative,-1,,,,0,0.0,,1899-12-30 00:00:00,,,,,,,,0.0,,
430,103,103,61,Taylor County,Wisconsin,55,119,55119,20760,21.1,20689,21.0,20248,58,43,56,8,316,128,148,10559,10130,1359,1445,1367,1342,978,2213,2576,3510,2565,1657,1113,564,41.7,40.9,42.5,8388,2.44,1151,1101,1796,2897,274,364,5689,2.96,10582,2194,6693,1695,967.0,224.0,119997.0,141155.0,984.56,893.0,253.0,133702.0,126517.0,2.46447138,Taylor,5,3,2,176,153.94743325,-1,,0,,,0,0.0,,,,,,,,,1899-12-30 00:00:00,,0.0,,23,C-11,83,JUMP RIVER ELECTRIC COOPERATIVE,Cooperative,2777,1140.65774342,424.459376498179,PO Box 99,1102 W 9th Street N,Ladysmith,WI,54848-0099,715-532-5524,https://www.jrec.net/,2009-08-13 00:00:00, ,683102.517016,Jump River Electric Cooperative,-1,,,,0,0.0,,1899-12-30 00:00:00,,,,,,,,0.0,,
